name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk),discount
"Samsung 55"" 4K Smart TV",718,36800,62400,45504,1,1,samsung_55_4k_smart_tv-0,3,16896
"Samsung 55"" 4K Smart TV",499,35600,62400,47928,2,2,samsung_55_4k_smart_tv-1,4,14472
"Samsung 55"" 4K Smart TV",517,36800,67800,56175,4,5,samsung_55_4k_smart_tv-2,5,11625
"Samsung 55"" 4K Smart TV",292,39600,60600,53250,5,4,samsung_55_4k_smart_tv-3,6,7350
"Samsung 55"" 4K Smart TV",431,37200,60600,51591,3,1,samsung_55_4k_smart_tv-4,7,9009
"Samsung 55"" 4K Smart TV",89,34000,68400,43632,1,2,samsung_55_4k_smart_tv-5,8,24768
"Samsung 55"" 4K Smart TV",427,39200,64200,57325,5,1,samsung_55_4k_smart_tv-6,9,6875
"Samsung 55"" 4K Smart TV",685,37600,64800,55280,5,4,samsung_55_4k_smart_tv-7,10,9520
"Samsung 55"" 4K Smart TV",479,38400,66000,51510,3,5,samsung_55_4k_smart_tv-8,11,14490
"Samsung 55"" 4K Smart TV",568,34800,69000,55833,3,1,samsung_55_4k_smart_tv-9,12,13167
"Samsung 55"" 4K Smart TV",613,36400,64800,56990,4,1,samsung_55_4k_smart_tv-10,13,7810
"Samsung 55"" 4K Smart TV",176,36400,62400,39000,1,5,samsung_55_4k_smart_tv-11,14,23400
"Samsung 55"" 4K Smart TV",422,34400,67200,45552,1,1,samsung_55_4k_smart_tv-12,15,21648
"Samsung 55"" 4K Smart TV",58,38800,64200,55310,5,4,samsung_55_4k_smart_tv-13,16,8890
"Samsung 55"" 4K Smart TV",725,38400,69000,56148,3,2,samsung_55_4k_smart_tv-14,17,12852
"Samsung 55"" 4K Smart TV",868,34400,64200,53770,4,4,samsung_55_4k_smart_tv-15,18,10430
"Samsung 55"" 4K Smart TV",488,36000,66600,42732,1,3,samsung_55_4k_smart_tv-16,19,23868
"Samsung 55"" 4K Smart TV",714,37600,69000,52515,3,5,samsung_55_4k_smart_tv-17,20,16485
"Samsung 55"" 4K Smart TV",319,39600,61800,45816,1,2,samsung_55_4k_smart_tv-18,21,15984
"Samsung 55"" 4K Smart TV",163,37200,62400,53580,4,4,samsung_55_4k_smart_tv-19,22,8820
"Samsung 55"" 4K Smart TV",615,39600,67200,56850,5,5,samsung_55_4k_smart_tv-20,23,10350
"Samsung 55"" 4K Smart TV",606,36400,65400,54525,4,5,samsung_55_4k_smart_tv-21,24,10875
"Samsung 55"" 4K Smart TV",772,36400,67200,55650,4,5,samsung_55_4k_smart_tv-22,25,11550
"Samsung 55"" 4K Smart TV",26,37200,68400,50148,2,3,samsung_55_4k_smart_tv-23,26,18252
"Samsung 55"" 4K Smart TV",500,37600,65400,54697,3,1,samsung_55_4k_smart_tv-24,27,10703
"Samsung 55"" 4K Smart TV",718,34400,60600,37020,1,5,samsung_55_4k_smart_tv-25,28,23580
"Samsung 55"" 4K Smart TV",257,39200,61200,52950,4,5,samsung_55_4k_smart_tv-26,29,8250
"LG 65"" OLED 4K Ultra HD TV",574,58200,101700,87563,5,3,lg_65_oled_4k_ultra_hd_tv-0,30,14137
"LG 65"" OLED 4K Ultra HD TV",171,59400,99000,70488,1,2,lg_65_oled_4k_ultra_hd_tv-1,31,28512
"LG 65"" OLED 4K Ultra HD TV",808,51600,97200,61632,1,3,lg_65_oled_4k_ultra_hd_tv-2,32,35568
"LG 65"" OLED 4K Ultra HD TV",121,58200,94500,81795,5,4,lg_65_oled_4k_ultra_hd_tv-3,33,12705
"LG 65"" OLED 4K Ultra HD TV",432,52200,95400,83520,4,1,lg_65_oled_4k_ultra_hd_tv-4,34,11880
"LG 65"" OLED 4K Ultra HD TV",164,51600,97200,80100,5,5,lg_65_oled_4k_ultra_hd_tv-5,35,17100
"LG 65"" OLED 4K Ultra HD TV",140,54000,97200,82080,4,4,lg_65_oled_4k_ultra_hd_tv-6,36,15120
"LG 65"" OLED 4K Ultra HD TV",833,57000,91800,60480,1,5,lg_65_oled_4k_ultra_hd_tv-7,37,31320
"LG 65"" OLED 4K Ultra HD TV",807,58200,91800,81720,4,2,lg_65_oled_4k_ultra_hd_tv-8,38,10080
"LG 65"" OLED 4K Ultra HD TV",518,57000,103500,89550,4,2,lg_65_oled_4k_ultra_hd_tv-9,39,13950
"LG 65"" OLED 4K Ultra HD TV",855,59400,99000,83754,3,1,lg_65_oled_4k_ultra_hd_tv-10,40,15246
"LG 65"" OLED 4K Ultra HD TV",109,55200,96300,84998,5,1,lg_65_oled_4k_ultra_hd_tv-11,41,11302
"LG 65"" OLED 4K Ultra HD TV",326,56400,102600,87585,4,3,lg_65_oled_4k_ultra_hd_tv-12,42,15015
"LG 65"" OLED 4K Ultra HD TV",33,57000,99900,81882,3,2,lg_65_oled_4k_ultra_hd_tv-13,43,18018
"LG 65"" OLED 4K Ultra HD TV",630,57000,103500,67230,1,3,lg_65_oled_4k_ultra_hd_tv-14,44,36270
"LG 65"" OLED 4K Ultra HD TV",353,57000,96300,65646,1,3,lg_65_oled_4k_ultra_hd_tv-15,45,30654
"LG 65"" OLED 4K Ultra HD TV",844,58200,99000,84720,5,4,lg_65_oled_4k_ultra_hd_tv-16,46,14280
"LG 65"" OLED 4K Ultra HD TV",959,54600,96300,71906,2,3,lg_65_oled_4k_ultra_hd_tv-17,47,24394
"LG 65"" OLED 4K Ultra HD TV",248,57000,99000,78210,2,1,lg_65_oled_4k_ultra_hd_tv-18,48,20790
"LG 65"" OLED 4K Ultra HD TV",901,52200,100800,76986,3,4,lg_65_oled_4k_ultra_hd_tv-19,49,23814
"Sony 50"" Full HD LED TV",500,26700,49050,37317,3,5,sony_50_full_hd_led_tv-0,50,11733
"Sony 50"" Full HD LED TV",160,28800,45900,37521,3,4,sony_50_full_hd_led_tv-1,51,8379
"Sony 50"" Full HD LED TV",436,26700,48600,42578,4,1,sony_50_full_hd_led_tv-2,52,6022
"Sony 50"" Full HD LED TV",440,27000,46350,39578,5,4,sony_50_full_hd_led_tv-3,53,6772
"Sony 50"" Full HD LED TV",632,28500,47250,40688,5,4,sony_50_full_hd_led_tv-4,54,6562
"Sony 50"" Full HD LED TV",928,26700,51300,38385,3,5,sony_50_full_hd_led_tv-5,55,12915
"Sony 50"" Full HD LED TV",282,26400,46800,40680,4,2,sony_50_full_hd_led_tv-6,56,6120
"Sony 50"" Full HD LED TV",462,29100,46350,39882,4,5,sony_50_full_hd_led_tv-7,57,6468
"Sony 50"" Full HD LED TV",159,28800,50850,43133,4,4,sony_50_full_hd_led_tv-8,58,7717
"Sony 50"" Full HD LED TV",183,29700,50850,44505,4,2,sony_50_full_hd_led_tv-9,59,6345
"Sony 50"" Full HD LED TV",909,26400,51300,42585,4,4,sony_50_full_hd_led_tv-10,60,8715
"Sony 50"" Full HD LED TV",323,28200,46350,38092,3,3,sony_50_full_hd_led_tv-11,61,8258
"Sony 50"" Full HD LED TV",832,28200,47250,32391,1,3,sony_50_full_hd_led_tv-12,62,14859
"Sony 50"" Full HD LED TV",704,28800,46800,35460,2,4,sony_50_full_hd_led_tv-13,63,11340
"Sony 50"" Full HD LED TV",64,27900,47700,40275,5,5,sony_50_full_hd_led_tv-14,64,7425
"Sony 50"" Full HD LED TV",336,26400,51300,39971,3,3,sony_50_full_hd_led_tv-15,65,11329
"Sony 50"" Full HD LED TV",825,26700,50850,44209,4,1,sony_50_full_hd_led_tv-16,66,6641
"Sony 50"" Full HD LED TV",245,25800,46800,38925,5,5,sony_50_full_hd_led_tv-17,67,7875
"Sony 50"" Full HD LED TV",452,28800,45450,32463,1,3,sony_50_full_hd_led_tv-18,68,12987
"Sony 50"" Full HD LED TV",669,28200,47250,30105,1,5,sony_50_full_hd_led_tv-19,69,17145
"Sony 50"" Full HD LED TV",48,27000,46350,28935,1,5,sony_50_full_hd_led_tv-20,70,17415
"TCL 43"" Roku Smart TV",772,22500,42000,32445,3,4,tcl_43_roku_smart_tv-0,71,9555
"TCL 43"" Roku Smart TV",401,21500,40500,33850,4,4,tcl_43_roku_smart_tv-1,72,6650
"TCL 43"" Roku Smart TV",841,22250,41250,34125,5,5,tcl_43_roku_smart_tv-2,73,7125
"TCL 43"" Roku Smart TV",291,24750,39375,34622,4,3,tcl_43_roku_smart_tv-3,74,4753
"TCL 43"" Roku Smart TV",728,24000,42000,30120,1,1,tcl_43_roku_smart_tv-4,75,11880
"TCL 43"" Roku Smart TV",246,22250,41625,28547,2,5,tcl_43_roku_smart_tv-5,76,13078
"TCL 43"" Roku Smart TV",254,24750,37875,31904,3,3,tcl_43_roku_smart_tv-6,77,5971
"TCL 43"" Roku Smart TV",976,24500,40875,29085,1,2,tcl_43_roku_smart_tv-7,78,11790
"TCL 43"" Roku Smart TV",937,23250,38625,31630,3,3,tcl_43_roku_smart_tv-8,79,6995
"TCL 43"" Roku Smart TV",595,22500,40125,32106,3,3,tcl_43_roku_smart_tv-9,80,8019
"TCL 43"" Roku Smart TV",458,23500,38625,31214,3,4,tcl_43_roku_smart_tv-10,81,7411
"TCL 43"" Roku Smart TV",511,23250,38250,27450,1,2,tcl_43_roku_smart_tv-11,82,10800
"TCL 43"" Roku Smart TV",274,22500,41250,35157,5,3,tcl_43_roku_smart_tv-12,83,6093
"TCL 43"" Roku Smart TV",822,23750,37875,26858,1,3,tcl_43_roku_smart_tv-13,84,11017
"TCL 43"" Roku Smart TV",172,22000,41625,30145,2,3,tcl_43_roku_smart_tv-14,85,11480
"TCL 43"" Roku Smart TV",408,22500,39000,33225,5,4,tcl_43_roku_smart_tv-15,86,5775
"TCL 43"" Roku Smart TV",611,21750,42375,33713,3,2,tcl_43_roku_smart_tv-16,87,8662
"TCL 43"" Roku Smart TV",975,24250,39375,28485,1,2,tcl_43_roku_smart_tv-17,88,10890
"TCL 43"" Roku Smart TV",396,23500,37875,30329,3,5,tcl_43_roku_smart_tv-18,89,7546
"TCL 43"" Roku Smart TV",129,22750,39750,29805,2,3,tcl_43_roku_smart_tv-19,90,9945
"TCL 43"" Roku Smart TV",815,24000,41250,36507,4,1,tcl_43_roku_smart_tv-20,91,4743
"TCL 43"" Roku Smart TV",375,24500,42750,37275,5,2,tcl_43_roku_smart_tv-21,92,5475
"TCL 43"" Roku Smart TV",843,23250,42000,36375,5,2,tcl_43_roku_smart_tv-22,93,5625
"TCL 43"" Roku Smart TV",992,23750,40500,29948,2,4,tcl_43_roku_smart_tv-23,94,10552
