name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk)
"Samsung 55"" 4K Smart TV",571,36800,61200,42500,3,4,"samsung-55""-4k-smart-tv-0",3
"Samsung 55"" 4K Smart TV",538,37200,61200,47500,1,1,"samsung-55""-4k-smart-tv-1",4
"Samsung 55"" 4K Smart TV",549,37200,66000,44000,5,0,"samsung-55""-4k-smart-tv-2",5
"Samsung 55"" 4K Smart TV",363,36000,69000,47000,4,3,"samsung-55""-4k-smart-tv-3",6
"Samsung 55"" 4K Smart TV",882,38800,63600,47500,3,5,"samsung-55""-4k-smart-tv-4",7
"Samsung 55"" 4K Smart TV",750,39200,66000,43500,2,5,"samsung-55""-4k-smart-tv-5",8
"Samsung 55"" 4K Smart TV",822,35600,61800,47000,3,1,"samsung-55""-4k-smart-tv-6",9
"Samsung 55"" 4K Smart TV",373,36800,63600,47500,2,1,"samsung-55""-4k-smart-tv-7",10
"Samsung 55"" 4K Smart TV",847,34800,68400,47500,1,4,"samsung-55""-4k-smart-tv-8",11
"Samsung 55"" 4K Smart TV",77,35200,63600,43000,2,2,"samsung-55""-4k-smart-tv-9",12
"Samsung 55"" 4K Smart TV",961,36000,67200,45500,5,3,"samsung-55""-4k-smart-tv-10",13
"Samsung 55"" 4K Smart TV",77,38000,62400,47000,1,5,"samsung-55""-4k-smart-tv-11",14
"Samsung 55"" 4K Smart TV",796,39600,66600,49500,3,0,"samsung-55""-4k-smart-tv-12",15
"Samsung 55"" 4K Smart TV",844,34800,64800,45500,5,4,"samsung-55""-4k-smart-tv-13",16
"Samsung 55"" 4K Smart TV",817,35600,61200,49500,1,4,"samsung-55""-4k-smart-tv-14",17
"Samsung 55"" 4K Smart TV",837,38000,67200,47500,5,0,"samsung-55""-4k-smart-tv-15",18
"Samsung 55"" 4K Smart TV",851,34400,62400,43000,4,3,"samsung-55""-4k-smart-tv-16",19
"Samsung 55"" 4K Smart TV",977,35200,64200,45500,1,0,"samsung-55""-4k-smart-tv-17",20
"Samsung 55"" 4K Smart TV",336,34800,65400,45500,1,0,"samsung-55""-4k-smart-tv-18",21
"Samsung 55"" 4K Smart TV",538,36800,67800,48500,2,5,"samsung-55""-4k-smart-tv-19",22
"Samsung 55"" 4K Smart TV",755,34000,67800,47000,5,2,"samsung-55""-4k-smart-tv-20",23
"Samsung 55"" 4K Smart TV",487,39200,61200,49500,5,1,"samsung-55""-4k-smart-tv-21",24
"Samsung 55"" 4K Smart TV",551,36400,67800,49000,2,0,"samsung-55""-4k-smart-tv-22",25
"Samsung 55"" 4K Smart TV",837,38400,65400,45000,4,4,"samsung-55""-4k-smart-tv-23",26
"Samsung 55"" 4K Smart TV",160,37600,68400,48500,1,0,"samsung-55""-4k-smart-tv-24",27
"Samsung 55"" 4K Smart TV",58,35200,63600,44500,1,3,"samsung-55""-4k-smart-tv-25",28
"Samsung 55"" 4K Smart TV",468,36000,67800,43500,4,3,"samsung-55""-4k-smart-tv-26",29
"Samsung 55"" 4K Smart TV",897,35200,68400,45500,1,2,"samsung-55""-4k-smart-tv-27",30
"LG 65"" OLED 4K Ultra HD TV",64,54600,98100,74250,2,0,"lg-65""-oled-4k-ultra-hd-tv-0",31
"LG 65"" OLED 4K Ultra HD TV",519,56400,92700,66750,5,0,"lg-65""-oled-4k-ultra-hd-tv-1",32
"LG 65"" OLED 4K Ultra HD TV",984,57000,103500,66000,5,4,"lg-65""-oled-4k-ultra-hd-tv-2",33
"LG 65"" OLED 4K Ultra HD TV",99,55800,98100,71250,2,3,"lg-65""-oled-4k-ultra-hd-tv-3",34
"LG 65"" OLED 4K Ultra HD TV",758,54000,102600,65250,2,1,"lg-65""-oled-4k-ultra-hd-tv-4",35
"LG 65"" OLED 4K Ultra HD TV",350,52200,93600,72750,5,1,"lg-65""-oled-4k-ultra-hd-tv-5",36
"LG 65"" OLED 4K Ultra HD TV",152,54600,96300,67500,5,3,"lg-65""-oled-4k-ultra-hd-tv-6",37
"LG 65"" OLED 4K Ultra HD TV",730,56400,96300,69000,3,3,"lg-65""-oled-4k-ultra-hd-tv-7",38
"LG 65"" OLED 4K Ultra HD TV",499,56400,96300,65250,4,1,"lg-65""-oled-4k-ultra-hd-tv-8",39
"LG 65"" OLED 4K Ultra HD TV",842,57000,92700,67500,3,5,"lg-65""-oled-4k-ultra-hd-tv-9",40
"LG 65"" OLED 4K Ultra HD TV",255,56400,91800,71250,4,5,"lg-65""-oled-4k-ultra-hd-tv-10",41
"LG 65"" OLED 4K Ultra HD TV",986,58800,97200,74250,1,3,"lg-65""-oled-4k-ultra-hd-tv-11",42
"LG 65"" OLED 4K Ultra HD TV",527,57000,92700,66000,1,0,"lg-65""-oled-4k-ultra-hd-tv-12",43
"LG 65"" OLED 4K Ultra HD TV",402,58800,92700,68250,5,2,"lg-65""-oled-4k-ultra-hd-tv-13",44
"LG 65"" OLED 4K Ultra HD TV",265,51000,90900,74250,2,0,"lg-65""-oled-4k-ultra-hd-tv-14",45
"LG 65"" OLED 4K Ultra HD TV",500,52800,93600,69750,5,3,"lg-65""-oled-4k-ultra-hd-tv-15",46
"LG 65"" OLED 4K Ultra HD TV",224,52800,94500,70500,5,5,"lg-65""-oled-4k-ultra-hd-tv-16",47
